,budget,popularity,revenue,runtime
124,21818607.837143928,0.074823,66682344.3390211,97.0
125,21818607.837143928,2.539346,66682344.3390211,98.0
126,24500.0,1.783412,4000000.0,67.0
127,21818607.837143928,0.425474,66682344.3390211,93.0
128,21818607.837143928,7.102963,66682344.3390211,94.0
129,21818607.837143928,3.78346,7305209.0,92.0
130,21818607.837143928,4.282807,66682344.3390211,99.0
131,18000000.0,6.696292,39321715.0,95.0
132,21818607.837143928,6.25967,66682344.3390211,121.0
133,21818607.837143928,10.762636,66682344.3390211,111.0
134,21818607.837143928,3.525649,763847.0,113.0
135,2500000.0,11.304979,5535405.0,105.0
136,21818607.837143928,1.334127,66682344.3390211,113.0
137,21818607.837143928,0.553293,66682344.3390211,122.0
138,21818607.837143928,2.686342,66682344.3390211,97.0
139,21818607.837143928,6.441891,66682344.3390211,106.0
140,21818607.837143928,0.897699,66682344.3390211,108.0
141,21818607.837143928,5.484156,66682344.3390211,103.0
142,21818607.837143928,5.8025,66682344.3390211,132.0
143,21818607.837143928,2.555556,66682344.3390211,181.0
144,3000000.0,2.696125,66682344.3390211,105.0
145,18000000.0,11.720358,5887457.0,127.0
146,21818607.837143928,3.559119,12145169.0,99.0
147,8200000.0,10.403992,80035402.0,107.0
148,3500000.0,11.841506,4385516.0,86.0
149,21818607.837143928,7.719019,66682344.3390211,83.0
150,21818607.837143928,0.621406,66682344.3390211,115.0
151,21818607.837143928,1.071015,66682344.3390211,107.0
152,25000000.0,11.430964,15843608.0,87.0
153,700000.0,9.47666,7830611.0,171.0
154,21818607.837143928,5.062928,26394.0,100.0
155,80000000.0,8.534176,33463969.0,106.0
156,60000000.0,11.970205,223664608.0,123.0
157,20000000.0,6.526379,45833132.0,97.0
158,8000000.0,12.691457,8279017.0,92.0
159,30000000.0,8.142166,18195610.0,108.0
160,21818607.837143928,3.390491,66682344.3390211,113.0
161,21818607.837143928,9.001823,66682344.3390211,105.0
162,11000000.0,42.149697,775398007.0,121.0
163,21818607.837143928,0.84508,66682344.3390211,101.0
164,21818607.837143928,4.510919,45000000.0,110.0
165,94000000.0,5.310558,54744738.0,116.0
166,21818607.837143928,1.860018,66682344.3390211,92.0
167,21818607.837143928,2.630796,66682344.3390211,108.0
168,21818607.837143928,3.474987,66682344.3390211,81.0
169,21818607.837143928,0.695382,13651656.0,38.0
170,19000000.0,10.874079,8247943.0,95.0
171,5500000.0,3.121288,66682344.3390211,128.0
172,21818607.837143928,3.007873,66682344.3390211,91.0
173,21818607.837143928,2.891269,66682344.3390211,110.0
174,21818607.837143928,5.56568,66682344.3390211,117.0
175,20000000.0,2.044436,66682344.3390211,103.0
176,10000000.0,11.509677,3916303.0,100.0
177,21818607.837143928,1.602592,66682344.3390211,119.0
178,21818607.837143928,0.769522,66682344.3390211,100.0
179,25000000.0,10.653446,15704614.0,98.0
180,21818607.837143928,1.806334,66682344.3390211,106.0
181,21818607.837143928,6.587929,66682344.3390211,102.0
