,ID,Adult,Not Adult,NotInCollection,InCollection,English /Non English,ExYear,ExMonth,ExDay,Canceled,In Production,Planned,Post Production,Released,Rumored,Unknown
11400,28387,1,0,1,0,1,2009,7,31,0,0,0,0,1,0,0
11401,28393,1,0,1,0,1,1955,9,22,0,0,0,0,1,0,0
11402,28394,1,0,1,0,1,1949,11,23,0,0,0,0,1,0,0
11403,28396,1,0,1,0,1,1972,1,5,0,0,0,0,1,0,0
11404,28399,1,0,1,0,1,2009,9,19,0,0,0,0,1,0,0
11405,28401,1,0,1,0,0,2014,9,19,0,0,0,0,1,0,0
11406,28402,1,0,1,0,1,2008,7,8,0,0,0,0,1,0,0
11407,28403,1,0,1,0,1,1989,5,5,0,0,0,0,1,0,0
11408,28412,1,0,1,0,1,1977,6,15,0,0,0,0,1,0,0
11409,28413,1,0,1,0,1,1989,5,26,0,0,0,0,1,0,0
11410,28418,1,0,1,0,1,2013,8,12,0,0,0,0,1,0,0
11411,28419,1,0,1,0,0,2012,1,6,0,0,0,0,1,0,0
11412,28423,1,0,1,0,1,1972,4,10,0,0,0,0,1,0,0
11413,28429,1,0,1,0,0,2014,8,28,0,0,0,0,1,0,0
11414,28434,1,0,1,0,1,2009,10,27,0,0,0,0,1,0,0
11415,28437,1,0,1,0,0,2013,9,29,0,0,0,0,1,0,0
11416,28438,1,0,1,0,0,2015,8,5,0,0,0,0,1,0,0
11417,28440,1,0,1,0,1,1978,5,19,0,0,0,0,1,0,0
11418,28443,1,0,1,0,1,2007,1,18,0,0,0,0,1,0,0
11419,28444,1,0,1,0,1,1998,5,29,0,0,0,0,1,0,0
11420,28446,1,0,1,0,1,1969,1,1,0,0,0,0,1,0,0
11421,28448,1,0,1,0,1,2010,1,2,0,0,0,0,1,0,0
11422,28456,1,0,1,0,1,2008,4,13,0,0,0,0,1,0,0
11423,28457,1,0,1,0,1,1958,7,5,0,0,0,0,1,0,0
11424,28458,1,0,1,0,1,2007,2,17,0,0,0,0,1,0,0
11425,28459,1,0,1,0,0,2000,6,13,0,0,0,0,1,0,0
11426,28461,1,0,1,0,1,2009,1,1,0,0,0,0,1,0,0
11427,28463,1,0,1,0,1,1991,1,1,0,0,0,0,1,0,0
11428,28465,1,0,1,0,1,1941,6,14,0,0,0,0,1,0,0
11429,28466,1,0,1,0,1,2009,10,27,0,0,0,0,1,0,0
11430,28467,1,0,1,0,1,2010,1,1,0,0,0,0,1,0,0
11431,28469,1,0,1,0,1,1941,5,30,0,0,0,0,1,0,0
11432,28470,1,0,1,0,0,1949,3,13,0,0,0,0,1,0,0
11433,28472,1,0,1,0,0,1991,3,21,0,0,0,0,1,0,0
11434,28476,1,0,1,0,0,1971,4,24,0,0,0,0,1,0,0
11435,28478,1,0,0,1,1,2004,12,18,0,0,0,0,1,0,0
11436,28481,1,0,1,0,0,2013,5,17,0,0,0,0,1,0,0
11437,28482,1,0,1,0,1,2009,6,16,0,0,0,0,1,0,0
11438,28483,1,0,1,0,0,2008,1,1,0,0,0,0,1,0,0
11439,28488,1,0,1,0,0,2009,3,26,0,0,0,0,1,0,0
11440,28490,1,0,1,0,0,1972,12,30,0,0,0,0,1,0,0
11441,28492,1,0,1,0,1,2006,5,23,0,0,0,0,1,0,0
11442,28493,1,0,1,0,0,2005,10,12,0,0,0,0,1,0,0
11443,28494,1,0,0,1,1,2007,5,15,0,0,0,0,1,0,0
11444,28495,1,0,1,0,1,2009,3,20,0,0,0,0,1,0,0
11445,28496,1,0,1,0,1,1972,1,6,0,0,0,0,1,0,0
11446,28498,1,0,1,0,0,1965,1,15,0,0,0,0,1,0,0
11447,28499,1,0,1,0,0,2009,6,2,0,0,0,0,1,0,0
11448,28500,1,0,1,0,0,2009,1,17,0,0,0,0,1,0,0
11449,28501,1,0,1,0,1,1931,5,22,0,0,0,0,1,0,0
11450,28506,1,0,1,0,1,1929,11,19,0,0,0,0,1,0,0
11451,28509,1,0,0,1,1,2008,1,3,0,0,0,0,1,0,0
11452,28510,1,0,1,0,1,1945,8,24,0,0,0,0,1,0,0
11453,28511,1,0,1,0,0,2006,11,22,0,0,0,0,1,0,0
11454,28513,1,0,1,0,1,1933,6,17,0,0,0,0,1,0,0
11455,28516,1,0,1,0,1,2010,10,9,0,0,0,0,1,0,0
11456,28517,1,0,1,0,1,2008,1,18,0,0,0,0,1,0,0
11457,28518,1,0,1,0,0,1960,3,23,0,0,0,0,1,0,0
11458,28520,1,0,1,0,1,2007,4,27,0,0,0,0,1,0,0
11459,28525,1,0,1,0,1,2010,12,14,0,0,0,0,1,0,0
11460,28527,1,0,1,0,1,1999,1,1,0,0,0,0,1,0,0
11461,28528,1,0,1,0,1,2015,2,20,0,0,0,0,1,0,0
11462,28531,1,0,1,0,1,1933,10,13,0,0,0,0,1,0,0
11463,28533,1,0,1,0,1,2010,4,11,0,0,0,0,1,0,0
11464,28537,1,0,1,0,1,2007,3,29,0,0,0,0,1,0,0
11465,28538,1,0,1,0,1,1994,1,1,0,0,0,0,1,0,0
11466,28541,1,0,1,0,0,1954,4,10,0,0,0,0,1,0,0
11467,28545,1,0,1,0,1,2010,12,3,0,0,0,0,1,0,0
11468,28547,1,0,1,0,1,1958,1,8,0,0,0,0,1,0,0
11469,28551,1,0,0,1,1,2010,8,26,0,0,0,0,1,0,0
11470,28553,1,0,1,0,1,1952,12,31,0,0,0,0,1,0,0
11471,28555,1,0,1,0,1,1938,4,11,0,0,0,0,1,0,0
11472,28556,1,0,1,0,0,2014,10,10,0,0,0,0,1,0,0
11473,28558,1,0,1,0,0,2014,3,12,0,0,0,0,1,0,0
11474,28560,1,0,1,0,1,1999,11,9,0,0,0,0,1,0,0
11475,28561,1,0,1,0,1,2010,9,24,0,0,0,0,1,0,0
11476,28563,1,0,1,0,1,2009,1,10,0,0,0,0,1,0,0
11477,28565,1,0,1,0,0,1989,8,11,0,0,0,0,1,0,0
11478,28570,1,0,0,1,0,2013,6,22,0,0,0,0,1,0,0
11479,28573,1,0,1,0,1,1942,11,16,0,0,0,0,1,0,0
11480,28574,1,0,1,0,1,1951,5,25,0,0,0,0,1,0,0
11481,28576,1,0,1,0,1,2002,1,1,0,0,0,0,1,0,0
11482,28577,1,0,1,0,0,2000,8,11,0,0,0,0,1,0,0
11483,28579,1,0,1,0,1,1953,11,13,0,0,0,0,1,0,0
11484,28580,1,0,1,0,1,1937,7,5,0,0,0,0,1,0,0
11485,28583,1,0,1,0,0,1996,10,5,0,0,0,0,1,0,0
11486,28592,1,0,1,0,0,1984,1,9,0,0,0,0,1,0,0
11487,28593,1,0,1,0,1,1991,1,8,0,0,0,0,1,0,0
11488,28599,1,0,1,0,1,2001,4,10,0,0,0,0,1,0,0
11489,28601,1,0,1,0,1,2008,11,9,0,0,0,0,1,0,0
11490,28604,1,0,1,0,0,1973,11,13,0,0,0,0,1,0,0
11491,28606,1,0,1,0,1,1945,7,4,0,0,0,0,1,0,0
11492,28607,1,0,1,0,0,2013,6,30,0,0,0,0,1,0,0
11493,28611,1,0,1,0,1,1995,1,1,0,0,0,0,1,0,0
11494,28613,1,0,1,0,1,2010,1,22,0,0,0,0,1,0,0
11495,28618,1,0,1,0,1,2009,8,25,0,0,0,0,1,0,0
11496,28623,1,0,1,0,1,2000,9,9,0,0,0,0,1,0,0
11497,28627,1,0,1,0,0,2000,3,3,0,0,0,0,1,0,0
11498,28631,1,0,0,1,1,2011,7,29,0,0,0,0,1,0,0
11499,28633,1,0,1,0,1,2011,2,5,0,0,0,0,1,0,0
11500,28634,1,0,1,0,1,1941,1,9,0,0,0,0,1,0,0
11501,28635,1,0,1,0,1,1933,7,1,0,0,0,0,1,0,0
11502,28641,1,0,1,0,1,2008,1,1,0,0,0,0,1,0,0
11503,28644,1,0,1,0,1,2011,9,16,0,0,0,0,1,0,0
11504,28645,1,0,1,0,1,1952,6,20,0,0,0,0,1,0,0
11505,28649,1,0,1,0,1,1983,10,23,0,0,0,0,1,0,0
11506,28651,1,0,1,0,1,2001,3,29,0,0,0,0,1,0,0
11507,28655,1,0,1,0,1,2011,4,13,0,0,0,0,1,0,0
11508,28657,1,0,1,0,1,2015,1,1,0,0,0,0,1,0,0
11509,28661,1,0,1,0,1,2011,10,21,0,0,0,0,1,0,0
11510,28663,1,0,1,0,1,2011,9,30,0,0,0,0,1,0,0
11511,28671,1,0,1,0,1,2004,5,13,0,0,0,0,1,0,0
11512,28673,1,0,1,0,1,2015,2,25,0,0,0,0,1,0,0
11513,28676,1,0,1,0,1,1934,1,6,0,0,0,0,1,0,0
11514,28677,1,0,1,0,1,1936,12,26,0,0,0,0,1,0,0
11515,28678,1,0,1,0,1,2010,1,9,0,0,0,0,1,0,0
11516,28686,1,0,1,0,1,2011,10,21,0,0,0,0,1,0,0
11517,28689,1,0,1,0,1,1962,1,1,0,0,0,0,1,0,0
11518,28690,1,0,1,0,0,1972,2,5,0,0,0,0,1,0,0
11519,28691,1,0,1,0,0,2009,1,29,0,0,0,0,1,0,0
11520,28693,1,0,1,0,1,2011,3,24,0,0,0,0,1,0,0
11521,28696,1,0,1,0,1,1932,9,16,0,0,0,0,1,0,0
11522,28699,1,0,1,0,1,2001,9,2,0,0,0,0,1,0,0
11523,28705,1,0,1,0,1,1915,9,8,0,0,0,0,1,0,0
11524,28706,1,0,1,0,1,1936,8,15,0,0,0,0,1,0,0
11525,28716,1,0,1,0,0,2010,10,9,0,0,0,0,1,0,0
11526,28718,1,0,1,0,1,1950,9,15,0,0,0,0,1,0,0
11527,28719,1,0,1,0,0,2014,9,16,0,0,0,0,1,0,0
11528,28721,1,0,1,0,1,2012,5,24,0,0,0,0,1,0,0
11529,28722,1,0,1,0,0,2004,9,17,0,0,0,0,1,0,0
11530,28724,1,0,0,1,0,1990,7,6,0,0,0,0,1,0,0
11531,28726,1,0,1,0,0,2011,8,2,0,0,0,0,1,0,0
11532,28727,1,0,1,0,1,2012,4,27,0,0,0,0,1,0,0
11533,28728,1,0,1,0,0,2014,7,2,0,0,0,0,1,0,0
11534,28729,1,0,1,0,0,1893,5,8,0,0,0,0,1,0,0
11535,28736,1,0,1,0,1,1934,10,13,0,0,0,0,1,0,0
11536,28738,1,0,1,0,1,2011,3,6,0,0,0,0,1,0,0
11537,28740,1,0,1,0,0,2008,12,20,0,0,0,0,1,0,0
11538,28741,1,0,1,0,0,1957,10,22,0,0,0,0,1,0,0
11539,28743,1,0,1,0,0,2011,10,8,0,0,0,0,1,0,0
11540,28744,1,0,1,0,0,2006,10,26,0,0,0,0,1,0,0
11541,28745,1,0,1,0,0,1933,1,1,0,0,0,0,1,0,0
11542,28750,1,0,1,0,1,2008,1,17,0,0,0,0,0,0,1
11543,28751,1,0,1,0,1,2012,6,9,0,0,0,0,1,0,0
11544,28753,1,0,1,0,1,2011,1,24,0,0,0,0,1,0,0
11545,28756,1,0,1,0,1,2011,1,24,0,0,0,0,1,0,0
11546,28758,1,0,1,0,1,1958,1,1,0,0,0,0,1,0,0
11547,28759,1,0,1,0,0,1998,10,3,0,0,0,0,1,0,0
11548,28760,1,0,1,0,1,2012,6,9,0,0,0,0,1,0,0
11549,28764,1,0,1,0,1,2007,1,1,0,0,0,0,1,0,0
11550,28767,1,0,1,0,1,2012,2,11,0,0,0,0,1,0,0
11551,28772,1,0,1,0,1,1946,6,6,0,0,0,0,1,0,0
11552,28773,1,0,1,0,1,1979,12,21,0,0,0,0,0,1,0
11553,28774,1,0,1,0,1,2014,5,11,0,0,0,0,1,0,0
11554,28775,1,0,1,0,1,1972,3,23,0,0,0,0,1,0,0
11555,28777,1,0,1,0,1,1997,3,26,0,0,0,0,1,0,0
