,budget,popularity,revenue,runtime
209,155000000.0,13.498641,167298192.0,175.0
210,22000000.0,41.725123,321365567.0,195.0
211,21282480.35396736,2.380928,71960671.26235613,90.0
212,21282480.35396736,1.149817,71960671.26235613,101.0
213,21282480.35396736,0.946779,71960671.26235613,77.0
214,21282480.35396736,9.019985,71960671.26235613,79.0
215,28000000.0,96.272374,33139618.0,117.0
216,21282480.35396736,0.923569,71960671.26235613,101.0
217,21282480.35396736,2.214231,71960671.26235613,86.0
218,21282480.35396736,1.10941,3.0,97.0
219,21282480.35396736,0.892883,71960671.26235613,92.0
220,25000000.0,11.338194,56505065.0,130.0
221,21282480.35396736,8.591768,71960671.26235613,89.0
222,21282480.35396736,2.430068,1362303.0,92.0
223,21282480.35396736,9.735023,71960671.26235613,101.0
224,10000000.0,7.176601,47410000.0,96.0
225,21282480.35396736,15.317489,71960671.26235613,94.0
226,21282480.35396736,2.246011,71960671.26235613,76.0
227,140000000.0,12.817945,209073645.0,108.0
228,21282480.35396736,2.331514,71960671.26235613,96.0
229,18000000.0,0.702543,476684675.0,103.0
230,35000000.0,19.10673,411348924.0,126.0
231,19000000.0,4.307222,272742922.0,119.0
232,21282480.35396736,1.24105,71960671.26235613,105.0
233,25000000.0,23.433511,377350553.0,84.0
234,14000000.0,13.348451,463000000.0,119.0
